IdPF,ValorGenericoPF,ValorMGPF
261,"223,88","240,26"
262,"8,91","9,56"
263,"18,26","19,6"
264,"79,55","85,37"
265,"159,22","170,87"
266,"39,36","42,24"
267,"180,89","194,12"
268,"1163,69","1248,84"
269,"2620,88","2812,65"
270,"66,85","71,74"
271,"177,55","190,54"
272,"62,78","67,38"
273,"169,56","181,96"
274,"53,85","57,79"
275,"51,76","55,55"
276,"50,91","54,63"
277,"63,49","68,13"
278,"42,35","45,45"
279,"84,69","90,89"
280,"148,3","159,15"
281,"126,98","136,27"
282,"169,39","181,78"
283,"296,61","318,32"
284,"1791,58","1922,67"
285,"8957,99","9613,45"
286,"61,19","65,67"
287,"122,34","131,29"
288,"20,39","21,88"
289,"244,69","262,6"
290,"122,4","131,35"
291,"61,89","66,41"
292,"103,13","110,67"
293,"22,81","24,48"
294,"135,11",145
295,"308,03","330,57"
296,"29,2","31,34"
297,"87,68","94,1"
298,"30,14","32,34"
299,"82,31","88,33"
300,"55,63","60,32"
301,"27,22","29,21"
302,"44,36","47,61"
303,"80,06","85,91"
304,"160,16","171,88"
305,"56,25","60,37"
306,"99,86","107,17"
307,"299,6","321,52"
308,"344,81","370,04"
309,"370,76","397,89"
310,"62,93","67,54"
311,"539,42","578,89"
312,"472,42","506,99"
313,"507,98","545,15"
314,"48,03","51,55"
315,"144,22","154,77"
316,"160,25","171,98"
317,"176,26","189,16"
318,"33,64","36,1"
319,"288,47","309,57"
320,"320,48","343,93"
321,"352,55","378,34"
322,"57,01","61,18"
323,"19,05","20,44"
324,"26,94","28,91"
325,"53,94","57,89"
326,"80,9","86,82"
327,"53,49","57,4"
328,"57,88","62,11"
329,"1407,86","1510,88"
330,"2111,81","2266,33"
331,"2815,74","3021,77"
332,"4787,02","5137,29"
333,"9574,07","10274,61"
334,"14361,11","15411,91"
335,"14041,97","15069,42"
336,"19148,15","20549,23"
337,"4082,84","4381,58"
338,"8165,7","8763,18"
339,"1146,78","1230,69"
340,"1720,19","1846,06"
341,"4013,76","4307,45"
342,"12315,07","13354,37"
343,"34,39","37,29"
344,"103,22","111,93"
345,"204,27","221,51"
346,"306,42","332,27"
347,"62,39","67,66"
348,"187,15","202,94"
349,"373,97","405,53"
350,"560,96","608,3"
351,"26,95","28,93"
352,"107,84","115,73"
353,"161,76","173,6"
354,"17,97","19,28"
355,"14,07","15,1"
356,"21,08","22,62"
357,"42,19","45,28"
358,"63,27","67,9"
359,"28,11","30,17"
360,"84,36","90,54"
361,"126,57","135,83"
362,"45,41","48,73"
363,"68,13","73,11"
364,"136,24","146,21"
365,"204,36","219,32"
366,"116,52","126,35"
367,"108,38","117,53"
368,"321,45","348,58"
