IdPMC,ValorGenericoPMC,ValorMGPMC
263,"77,76","83,46"
264,"138,05","148,16"
265,"414,18","444,48"
266,"476,68","511,56"
267,"512,55","550,06"
268,87,"93,37"
269,"745,72","800,28"
270,"653,09","700,88"
271,"702,25","753,64"
272,"66,4","71,26"
273,"199,38","213,96"
274,"221,54","237,75"
275,"243,67","261,5"
276,"46,51","49,91"
277,"398,79","427,96"
278,"443,04","475,46"
279,"487,38","523,03"
280,"78,81","84,58"
281,"26,34","28,26"
282,"37,24","39,97"
283,"74,57","80,03"
284,"111,84","120,02"
285,"73,95","79,35"
286,"80,02","85,86"
287,"1946,28","2088,7"
288,"2919,45","3133,07"
289,"3892,6","4177,42"
290,"16450,27","17792,14"
291,"45,94","49,68"
292,"137,88","149,13"
293,"272,86","295,12"
294,"409,31","442,69"
295,"83,34","90,14"
296,"249,99","270,38"
297,"499,54","540,29"
298,"749,32","810,44"
299,"37,26","39,99"
300,"149,08","159,99"
301,"223,62","239,99"
302,"24,84","26,65"
303,"19,45","20,87"
304,"29,14","31,27"
305,"58,33","62,6"
306,"87,47","93,87"
307,"38,86","41,71"
308,"116,62","125,17"
309,"174,98","187,78"
310,"62,78","67,37"
311,"94,19","101,07"
312,"188,34","202,13"
313,"282,52","303,2"
314,"155,65","168,34"
315,"144,77","156,59"
316,"429,39","464,42"
317,"147,27","159,29"
318,"431,87","467,11"
319,"152,27","164,69"
320,"436,84","472,48"
321,"242,38","260,12"
322,"118,24","126,89"
323,"354,75","380,71"
324,"269,56","291,55"
325,"539,11","583,08"
326,"808,67","874,63"
327,"121,77","131,71"
328,"243,55","263,42"
329,"243,63","263,5"
330,"487,25","527,01"
331,"974,53","1054,03"
332,"109,75","117,78"
333,"219,5","235,57"
334,"80,79","87,39"
335,"161,58","174,75"
336,"323,15","349,52"
337,"323,17","349,53"
338,"646,95","699,72"
339,"1293,89","1399,43"
340,"485,25","524,84"
341,"970,49","1049,65"
342,"1940,99","2099,32"
343,"631,6","683,13"
344,"1263,2","1366,24"
345,"2125,09","2298,43"
346,"37,86","40,94"
347,"23,55","25,47"
348,"9,48","10,25"
349,"11,71","12,67"
350,"81,75","88,41"
351,"106,52","115,19"
352,"26,23","28,38"
353,"19,82","21,44"
354,"10,34","11,19"
355,"17,7","19,15"
356,"98,65","106,7"
357,"42,85","46,35"
358,"28,41","30,74"
359,"19,45","21,04"
360,"215,07","232,62"
361,"21,52","23,28"
362,"11,36","12,19"
363,"113,51","121,82"
364,"46,19","49,56"
365,"52,33","56,15"
366,"25,43","27,51"
367,"49,89","53,96"
368,"20,01","21,64"
369,"34,01","36,79"
370,"16,66","17,87"
371,"169,36","181,76"
372,"247,37","265,48"
373,"106,89","114,71"
374,"31,56","33,87"
375,"47,38","50,85"
376,"94,72","101,66"
377,"85,49","92,46"
378,"31,59","34,17"
379,"63,18","68,33"
380,"31,24","33,79"
381,"54,19","58,62"
382,"100,8","109,02"
383,"151,21","163,54"
384,"340,18","367,93"
385,"21,8","23,57"
386,"43,59","47,15"
387,"59,11","63,92"
388,"102,99","111,39"
389,"31,14","33,68"
390,"62,29","67,36"
391,"77,85","84,19"
392,"92,17","99,68"
393,"161,02","174,15"
394,"100,78","109,01"
395,"171,34","185,32"
396,"182,04","196,89"
397,"195,83","211,8"
398,"344,07","372,14"
399,"50,69","54,82"
400,"64,63","69,91"
401,"31,07","33,61"
402,"23,44","25,35"
403,"16,95","18,33"
404,"2241,37","2405,36"
405,"4482,75","4810,74"
406,"706,28","757,95"
407,"1769,32","1898,78"
408,"2436,04","2614,28"
409,"89,18","96,45"
410,"535,03","574,18"
411,"1070,09","1148,38"
412,"616,41","666,69"
413,"147,82","159,88"
414,"1592,39","1722,29"
415,"5427,22","5824,32"
416,"37,8","40,56"
417,"65,78","70,59"
418,"66,88","71,76"
419,"44,9","48,18"
420,"23,02","24,7"
421,"28,22","30,28"
422,48,"51,51"
423,"49,15","52,74"
424,"98,22","105,4"
425,"21,51","23,09"
426,"51,39","55,15"
427,"134,33","144,16"
428,"20,94","22,48"
429,"22,51","24,17"
430,"54,12","58,08"
431,"45,14","48,44"
432,"81,14","87,08"
433,"125,71","134,91"
434,"188,55","202,35"
435,"13,49","14,49"
436,"31,42","33,72"
437,"53,15","57,48"
438,"16,96","18,35"
439,"30,05","32,25"
440,"62,07","66,61"
441,"50,24","53,92"
442,"97,46","104,6"
443,"48,27","51,81"
444,"89,37","95,91"
445,"171,85","184,42"
446,"180,04","193,21"
447,"70,01","75,12"
448,"275,69","295,86"
449,30,"32,2"
450,"245,22","263,15"
451,"59,92","64,3"
452,"38,4","41,54"
453,"32,36","34,73"
454,"76,93","82,56"
455,"42,03","45,1"
456,"102,56","110,07"
457,"104,04","111,66"
458,"148,58","159,45"
459,"44,63","47,9"
460,"27,23","29,24"
461,"28,96","31,09"
462,"872,35","936,19"
463,"174,46","187,24"
464,"17,46","18,73"
465,"31,31","33,59"
466,"29,72","32,14"
467,"30,35","32,83"
468,38,"41,1"
469,"51,12","55,29"
470,"12,76","13,79"
471,"26,39","28,33"
472,"39,68","42,58"
473,"178,57","191,63"
474,"28,99","31,1"
475,"45,59","48,92"
476,"43,7","46,91"
477,"25,46","27,33"
478,"43,81","47,02"
479,"34,82","37,38"
480,"54,54","58,53"
481,"112,01","120,2"
482,"177,06","190,02"
483,"65,65","70,45"
484,"615,23","660,25"
485,"61,62","66,64"
486,"63,21","68,36"
487,"173,4","187,54"
488,"33,9","36,67"
489,"38,28","41,41"
490,"33,89","36,65"
491,"75,41","81,55"
492,"25,42","27,28"
493,"35,83","38,46"
494,"26,29","28,22"
495,"23,68","25,61"
496,"24,23","26,21"
497,"67,6","72,55"
498,"96,51","103,56"
499,"73,24","78,59"
500,"114,24","122,59"
501,"41,78","45,19"
502,"65,31","70,09"
503,"31,46","33,77"
504,"16,99","18,39"
505,"33,81","36,56"
506,"16,51","17,87"
507,"26,3","28,44"
508,"24,54","26,54"
509,"18,29","19,78"
510,"35,12","37,98"
511,"17,38","18,8"
512,"19,24","20,65"
513,"66,19","71,03"
514,"45,72","49,06"
515,"489,18","524,97"
516,"65,15","69,91"
517,"35,06","37,63"
518,"17,97","19,44"
519,"30,1","32,31"
520,"20,6","22,11"
521,"101,44","108,85"
522,"79,53","85,35"
523,"28,59","30,92"
524,"25,45","27,32"
525,"130,85","140,41"
526,"25,69","27,57"
527,"836,18","897,37"
528,"17,86","19,32"
529,"1578,08","1693,56"
530,"3156,47","3387,44"
531,"23,88","25,83"
532,"100,03","107,36"
533,"141,8","152,17"
534,"42,7","45,83"
535,"169,83","182,26"
536,"229,58","246,38"
537,"14,25","15,29"
538,"33,33","35,78"
539,"47,25","50,71"
540,"43,16","46,68"
541,"21,61","23,18"
542,"34,36","37,16"
543,"17,18","18,59"
544,"19,14","20,7"
545,"29,94","32,13"
546,"59,93","64,31"
547,"61,31","65,8"
548,"122,65","131,62"
549,"130,74","140,3"
550,"252,27","270,72"
551,"49,86","53,51"
552,"33,03","35,43"
553,"25,23","27,08"
554,"50,78","54,48"
555,"101,6","109,03"
556,"205,33","220,36"
557,"25,37","27,23"
558,"20,36","21,84"
559,"41,06","44,07"
560,"22,24","23,87"
561,"18,69","20,06"
562,"40,27","43,55"
563,"36,91","39,92"
564,"27,68","29,94"
565,"9,24","10,01"
566,"25,41","27,26"
567,"38,09","40,86"
568,52,"56,25"
569,"58,47","63,24"
570,"116,93","126,46"
571,"14,05","15,07"
572,"34,66","37,19"
573,"93,52","100,37"
574,"27,75","29,78"
575,"83,14","89,22"
576,"42,88","46,38"
577,"36,43","39,1"
578,"43,96","47,17"
579,"71,78","77,03"
580,"87,88","94,31"
581,"55,89","59,98"
582,"92,18","98,93"
583,"47,65","51,53"
584,"15,46","16,59"
585,"49,27","52,86"
586,"161,33","173,14"
587,"35,74","38,35"
588,"135,38","145,29"
589,"27,57","29,82"
590,"50,09","54,17"
591,"65,56","70,91"
592,"87,21","94,33"
593,"1824,01","1972,8"
594,"70,97","76,17"
595,"137,97","148,06"
596,"210,2","225,57"
597,"280,43","300,96"
598,"212,92","228,5"
599,"413,85","444,14"
600,"12,93","13,99"
601,"24,62","26,63"
602,"31,81","34,15"
603,"95,54","102,54"
604,"25,57","27,65"
605,"43,41","46,95"
606,"15,16","16,4"
607,"29,83","32,26"
608,"51,19","55,36"
609,"69,51","74,6"
610,"208,42","223,67"
611,"21,05","22,59"
612,"41,32","44,33"
613,"78,19","83,91"
614,"154,82","166,14"
615,"14,27","15,3"
616,"924,7","992,36"
617,"232,26","249,25"
618,"343,03","368,12"
619,"686,13","736,33"
620,"72,94","78,27"
621,"120,37","129,18"
622,"200,88","215,58"
623,"799,74","858,26"
624,122,"130,93"
625,"102,72","110,22"
626,"27,34","29,35"
627,"82,01","88,01"
628,"94,28","101,19"
629,"102,2","109,68"
630,"24,11","25,88"
631,"72,32","77,6"
632,"16,09","17,27"
633,"40,26","43,54"
634,"26,14","28,05"
635,"78,44","84,18"
636,"156,88","168,35"
637,"45,55","49,27"
638,"91,1","98,54"
639,"136,64","147,79"
640,"273,29","295,57"
641,"75,87","81,41"
642,"151,81","162,91"
643,"202,29","217,1"
644,"60,12","64,52"
645,"156,26","167,69"
646,"57,84","62,07"
647,"71,2","76,41"
648,"118,65","127,34"
649,"22,62","24,28"
650,"48,48","52,02"
651,"96,91",104
652,"193,89","208,07"
653,"40,05","42,98"
654,"87,23","93,62"
655,"174,49","187,25"
656,"331,65","355,91"
657,"52,67","56,53"
658,"158,03","169,58"
659,"47,33","51,19"
660,"72,92","78,87"
661,"134,71","145,7"
662,"20,17","21,82"
663,"15,98","17,28"
664,"24,32","26,31"
665,"47,22","51,07"
666,"21,41","23,16"
667,"32,61","35,27"
668,"24,55","26,35"
669,"49,09","52,68"
670,"83,51","89,62"
671,"21,08","22,63"
672,"63,56","68,21"
673,"23,99","25,74"
674,"72,37","77,67"
675,"75,82",82
676,"139,02","150,36"
677,"48,42","52,37"
678,"145,27","157,12"
679,"75,71","81,9"
680,"329,2","353,28"
681,"87,79","94,21"
682,"25,37","27,43"
683,"52,6","56,9"
684,"234,06","253,15"
685,"158,17","171,08"
686,"89,59","96,9"
687,"107,48","115,35"
688,"150,55","161,57"
689,"31,66","33,97"
690,"59,47","63,83"
691,"55,68","59,76"
692,"71,03","76,21"
693,"44,84","48,5"
694,"144,96","156,79"
695,"481,66","520,95"
696,"160,55","173,65"
697,"569,22","615,66"
698,"189,72","205,2"
699,"240,11","259,69"
700,"187,64","202,95"
701,"95,84","102,85"
702,"191,68","205,69"
703,"383,32","411,37"
704,"36,62","39,3"
705,"76,96","82,59"
706,"38,72","41,89"
707,"48,21","52,13"
708,"21,09","22,81"
709,"25,46","27,53"
710,"34,1","36,88"
711,"80,64","86,54"
712,"161,23","173,03"
713,12,"12,88"
714,"44,97","48,26"
715,"3675,16","3944,08"
716,"127,06","136,35"
717,"106,9","114,73"
718,"211,75","227,25"
719,"22,49","24,33"
720,"44,58","48,22"
721,"66,6","72,04"
722,"51,63","55,42"
723,"58,82","63,12"
724,"66,92","71,82"
725,"133,88","143,68"
726,"28,62","30,72"
727,"85,92","92,21"
728,"50,87","54,59"
729,"83,03","89,1"
730,"144,73","155,32"
731,"64,53","69,26"
732,"54,97","58,99"
733,"30,83","33,08"
734,"74,64","80,74"
735,"102,16","109,63"
736,"122,11","131,04"
737,"139,35","149,54"
738,"101,91","109,36"
739,"152,59","163,75"
740,"24,22","25,99"
741,"166,2","178,35"
742,"283,61","304,36"
743,"85,49","91,75"
744,"91,61","98,32"
745,"178,06","191,08"
746,"303,83","326,08"
747,"123,48","132,51"
748,262,"281,17"
749,"520,63","558,73"
750,"67,63","73,14"
751,"83,55","90,37"
752,"20,16","21,81"
753,"40,41","43,71"
754,"80,69","87,28"
755,"149,69","161,89"
756,"42,83","45,95"
757,"101,79","109,23"
758,"140,18","150,44"
759,"139,9","150,15"
760,"38,22","41,34"
761,"80,95","87,55"
762,"26,35","28,27"
763,"36,1","38,74"
764,"51,25","54,99"
765,"34,6","37,15"
766,"183,27","196,68"
767,"19,96","21,58"
768,"36,77","39,77"
769,"47,03","50,87"
770,"40,85","43,84"
771,"33,05","35,47"
772,"29,34","31,48"
773,"49,57","53,21"
774,"13,96","14,99"
775,"410,65","440,69"
776,"34,89","37,45"
777,"48,58","52,13"
778,"48,57","52,12"
779,"81,26","87,22"
780,"34,88","37,42"
781,"46,66","50,07"
782,"66,44","71,29"
783,"16,78","18,15"
784,"125,83","136,1"
785,"158,82","171,77"
786,"26,83","28,8"
787,"80,5","86,39"
788,"50,22","53,9"
789,"150,78","161,81"
790,"301,55","323,62"
791,"104,13","111,74"
792,"123,22","132,23"
793,"202,68","217,51"
794,"374,92","402,36"
795,"344,57","369,79"
796,"155,18","166,53"
797,"63,81","68,49"
798,"64,19","68,89"
799,"146,54","157,27"
800,"185,32","198,86"
801,"116,39","124,9"
802,"139,49","149,69"
803,"152,98","164,18"
804,"42,22","45,66"
805,"93,75","101,39"
806,"376,93","407,69"
807,"678,12","733,44"
808,"117,41","126,01"
809,"214,47","230,16"
810,20,"21,46"
811,"29,73","32,15"
812,"63,72","68,92"
813,"74,24","80,3"
814,"159,11","172,08"
815,"324,11","350,56"
816,"33,8","36,28"
817,"101,37","108,8"
818,"69,9","75,01"
819,"97,85","105,01"
820,"34,02","36,8"
821,"39,62","42,86"
822,"121,13","131,01"
823,"296,37","318,04"
824,"32,93","35,34"
825,"34,69","37,23"
826,"8954,86","9610,1"
827,"56,05","60,62"
828,"23,54","25,46"
829,"15,95","17,24"
830,"47,85","51,76"
831,"147,33","158,11"
832,"265,21","284,62"
833,"133,86","143,65"
834,"240,9","258,53"
835,"680,47","730,25"
836,"4003,54","4296,48"
837,"56,57","60,7"
838,"242,49","260,23"
839,"417,22","447,75"
840,"45,52","48,86"
841,"195,05","209,32"
842,"311,19","333,96"
843,"8750,07","9390,32"
844,"21,1","22,64"
845,"32,47","34,85"
846,"36,16","38,81"
847,"32,61",35
848,"130,52","140,07"
849,"68,18","73,17"
850,"272,8","292,76"
851,"43,35","46,53"
852,"64,16","68,85"
853,"126,67","135,94"
854,"101,57","108,99"
855,"93,04","99,84"
856,"51,22","54,97"
857,"134,65","144,49"
858,"8,99","9,65"
859,"55,17","59,21"
860,"33,5","35,94"
861,"66,97","71,87"
862,"66,54","71,96"
863,"27,7","29,96"
864,"14,45","15,63"
865,"462,44","496,28"
866,"44,54","47,79"
867,"293,42","314,89"
868,"46,43","50,21"
869,"23,23","25,13"
870,"4,98","5,4"
