IdTarja,DescricaoTarja
0,Tarja Preta (**)
1,Tarja Vermelha
2,Tarja Vermelha (**)
3,Tarja Vermelha sob restrição
4,Tarja Sem Tarja
5,- (*) 
6,Tarja Preta
